sample,n,study,area.cov,tmb
TCGA-09-1659,256,TCGA,23274147,11
TCGA-13-0724,800,TCGA,31090643,25.73
TCGA-13-0890,449,TCGA,50174991,8.95
TCGA-13-0911,116,TCGA,9655890,12.01
TCGA-13-0923,519,TCGA,34285624,15.14
TCGA-09-0366,183,TCGA,35814454,5.11
TCGA-13-0725,468,TCGA,31429666,14.89
TCGA-13-0891,666,TCGA,30126635,22.11
TCGA-23-1109,167,TCGA,23043408,7.25
TCGA-13-0804,413,TCGA,27644126,14.94
TCGA-10-0936,555,TCGA,44049640,12.6
TCGA-24-0966,739,TCGA,33617403,21.98
TCGA-04-1347,255,TCGA,19169130,13.3
TCGA-10-0937,50,TCGA,486028,102.87
TCGA-23-1024,345,TCGA,46797204,7.37
TCGA-23-1113,441,TCGA,29872885,14.76
TCGA-13-0714,315,TCGA,20658028,15.25
TCGA-13-0730,116,TCGA,18704214,6.2
TCGA-13-0766,197,TCGA,8675867,22.71
TCGA-13-0799,152,TCGA,33711935,4.51
TCGA-10-0927,1232,TCGA,26223133,46.98
TCGA-13-0887,1003,TCGA,38793485,25.85
TCGA-04-1517,256,TCGA,61072765,4.19
TCGA-24-0979,97,TCGA,22565328,4.3
TCGA-13-1495,119,TCGA,23345116,5.1
TCGA-13-1505,241,TCGA,51716469,4.66
TCGA-09-1674,319,TCGA,61207221,5.21
TCGA-23-1114,130,TCGA,28561114,4.55
TCGA-24-1550,331,TCGA,54139664,6.11
TCGA-24-1565,129,TCGA,25459442,5.07
TCGA-23-1809,472,TCGA,54251491,8.7
TCGA-24-1434,308,TCGA,53269386,5.78
TCGA-36-1575,112,TCGA,47161053,2.37
TCGA-57-1584,234,TCGA,45399976,5.15
TCGA-25-1625,110,TCGA,23701785,4.64
TCGA-25-1635,152,TCGA,28053263,5.42
TCGA-24-1463,112,TCGA,31715311,3.53
TCGA-24-1470,117,TCGA,20976659,5.58
TCGA-24-1604,320,TCGA,54265092,5.9
TCGA-09-1661,307,TCGA,14643824,20.96
TCGA-24-1545,123,TCGA,24501151,5.02
